claim_id,policy_id,model,decision
C001,policy00_placebo,gemma-3-4b-it,APPROVE
C002,policy00_placebo,gemma-3-4b-it,DENY
C003,policy00_placebo,gemma-3-4b-it,DENY
C004,policy00_placebo,gemma-3-4b-it,NEED_MORE_INFO
C005,policy00_placebo,gemma-3-4b-it,APPROVE
C006,policy00_placebo,gemma-3-4b-it,DENY
C007,policy00_placebo,gemma-3-4b-it,DENY
C008,policy00_placebo,gemma-3-4b-it,APPROVE
C009,policy00_placebo,gemma-3-4b-it,APPROVE
C010,policy00_placebo,gemma-3-4b-it,NEED_MORE_INFO
C011,policy00_placebo,gemma-3-4b-it,APPROVE
C012,policy00_placebo,gemma-3-4b-it,APPROVE
C013,policy00_placebo,gemma-3-4b-it,APPROVE
C014,policy00_placebo,gemma-3-4b-it,APPROVE
C015,policy00_placebo,gemma-3-4b-it,APPROVE
C016,policy00_placebo,gemma-3-4b-it,DENY
C017,policy00_placebo,gemma-3-4b-it,APPROVE
C018,policy00_placebo,gemma-3-4b-it,APPROVE
C019,policy00_placebo,gemma-3-4b-it,NEED_MORE_INFO
C020,policy00_placebo,gemma-3-4b-it,APPROVE
C021,policy00_placebo,gemma-3-4b-it,DENY
C022,policy00_placebo,gemma-3-4b-it,APPROVE
C023,policy00_placebo,gemma-3-4b-it,APPROVE
C024,policy00_placebo,gemma-3-4b-it,APPROVE
C025,policy00_placebo,gemma-3-4b-it,APPROVE
C026,policy00_placebo,gemma-3-4b-it,APPROVE
C027,policy00_placebo,gemma-3-4b-it,APPROVE
C028,policy00_placebo,gemma-3-4b-it,APPROVE
C029,policy00_placebo,gemma-3-4b-it,DENY
C030,policy00_placebo,gemma-3-4b-it,APPROVE
C031,policy00_placebo,gemma-3-4b-it,APPROVE
C032,policy00_placebo,gemma-3-4b-it,NEED_MORE_INFO
C033,policy00_placebo,gemma-3-4b-it,APPROVE
C034,policy00_placebo,gemma-3-4b-it,APPROVE
C035,policy00_placebo,gemma-3-4b-it,APPROVE
C036,policy00_placebo,gemma-3-4b-it,APPROVE
C037,policy00_placebo,gemma-3-4b-it,APPROVE
C038,policy00_placebo,gemma-3-4b-it,APPROVE
C039,policy00_placebo,gemma-3-4b-it,APPROVE
C040,policy00_placebo,gemma-3-4b-it,DENY
C041,policy00_placebo,gemma-3-4b-it,APPROVE
C042,policy00_placebo,gemma-3-4b-it,APPROVE
C043,policy00_placebo,gemma-3-4b-it,APPROVE
C044,policy00_placebo,gemma-3-4b-it,APPROVE
C045,policy00_placebo,gemma-3-4b-it,APPROVE
C046,policy00_placebo,gemma-3-4b-it,DENY
C047,policy00_placebo,gemma-3-4b-it,APPROVE
C048,policy00_placebo,gemma-3-4b-it,NEED_MORE_INFO
C049,policy00_placebo,gemma-3-4b-it,APPROVE
C050,policy00_placebo,gemma-3-4b-it,APPROVE
C051,policy00_placebo,gemma-3-4b-it,APPROVE
C052,policy00_placebo,gemma-3-4b-it,NEED_MORE_INFO
C053,policy00_placebo,gemma-3-4b-it,APPROVE
